DOEID,REGIONC,DIVISION,REPORTABLE_DOMAIN,HDD65,CDD65,TOTSQFT,Y1_BTUEL,DOLLAREL,Y2_BTUNG,DOLLARNG,HDD50,CDD80,WSF,OA_LAT
7709,2,4,12,4271,1507,3916,25812,645,106908,1213,1757,70,.53,5
7710,3,5,16,3403,1710,4056,71256,2303,83538,1040,1294,10,.42,6
7713,4,10,26,1134,1579,2052,18971,717,71443,378,48,56,.41,0
7714,1,2,3,5046,744,3505,13979,902,176300,2613,2073,23,.53,3
7715,3,7,21,1098,3460,3060,50129,1819,22755,372,140,634,.4,16
7717,4,10,26,2398,1736,2300,23103,971,41923,438,297,123,.46,1
7719,2,4,11,6274,768,441,18479,621,29315,367,3355,4,.59,2
7720,2,4,11,5104,1098,2868,30374,893,96965,1134,2259,13,.51,6
7722,2,4,12,4143,1546,931,14498,394,69085,976,1801,75,.54,5
7725,4,10,26,2512,326,2484,19397,740,50943,581,318,29,.52,0
7726,3,5,16,3088,1914,2280,39606,1279,40385,591,1082,37,.45,8
7727,1,2,3,5264,687,2777,17910,1057,86203,1258,2495,11,.52,3
7732,4,10,26,2555,466,2709,30964,1243,88868,817,187,0,.6,0
7734,4,8,22,5295,802,938,18264,588,36080,452,2364,0,.58,0
7735,2,4,12,5410,885,4749,36935,1252,87125,1001,2223,51,.54,5
7737,2,3,8,6650,454,2104,33523,1272,56785,665,3416,29,.58,2
7738,1,2,3,4717,1042,1122,27320,1374,7995,117,1905,39,.58,3
7739,2,3,8,6681,431,2401,63774,2424,125153,1332,3284,13,.56,2
7740,2,3,7,6410,558,3876,81482,2481,45613,847,3368,2,.61,2
7742,1,2,3,4672,904,845,17817,1189,9738,143,1871,0,.63,5
7743,1,2,3,6644,346,881,11140,530,53300,778,3171,21,.58,2
7744,1,1,2,6377,523,3534,23809,815,82205,1299,3086,0,.54,3
7745,1,2,3,5159,826,955,24986,1605,57605,840,2138,0,.59,6
7746,2,4,11,6195,906,2808,24283,679,39360,503,3081,0,.59,2
7747,2,4,10,7886,504,4160,35062,1163,145960,1299,4224,5,.57,1
7748,1,1,2,5814,623,1591,27177,1278,9328,303,2559,56,.67,3
7749,2,3,9,7672,300,982,19589,780,66010,692,3438,19,.66,1
7753,2,4,11,4799,1324,960,34205,1086,51353,624,2464,22,.51,5
7755,3,7,20,2707,1997,2484,42189,1524,73083,1044,768,171,.4,12
7757,4,10,26,2507,2105,1590,11420,387,34440,358,369,268,.48,0
7758,3,5,14,4489,1298,4013,26150,900,78720,1087,1798,44,.47,5
